Cultivar,Genotype,Year,Isolate,Experiment,Sequenced,Species,Host,Department,Mean,Max
Caninde 11,Susceptible,2017,5,One,YES,Pyricularia oryzae,Triticum,Canindeyu,3.2,4.0
Milan,Resistant,2017,5,One,YES,Pyricularia oryzae,Triticum,Canindeyu,2.0,2.0
Caninde 11,Susceptible,2017,5,Two,YES,Pyricularia oryzae,Triticum,Canindeyu,4.0,4.0
Milan,Resistant,2017,5,Two,YES,Pyricularia oryzae,Triticum,Canindeyu,2.0,2.0
Caninde 11,Susceptible,2018,5,Three,YES,Pyricularia oryzae,Triticum,Canindeyu,1.7,2.0
Milan,Resistant,2018,5,Three,YES,Pyricularia oryzae,Triticum,Canindeyu,1.5,2.0
Caninde 11,Susceptible,2020,5,Four,YES,Pyricularia oryzae,Triticum,Canindeyu,3.6,4.0
Milan,Resistant,2020,5,Four,YES,Pyricularia oryzae,Triticum,Canindeyu,0.4,2.0
Caninde 11,Susceptible,2018,7,One,YES,Pyricularia oryzae,Lollium,Itapua,0.0,0.0
Milan,Resistant,2018,7,One,YES,Pyricularia oryzae,Lollium,Itapua,0.0,0.0
Caninde 11,Susceptible,2017,9,One,YES,Pyricularia oryzae,Triticum,Itapua,4.0,4.0
Milan,Resistant,2017,9,One,YES,Pyricularia oryzae,Triticum,Itapua,1.0,1.0
Caninde 11,Susceptible,2017,9,Two,YES,Pyricularia oryzae,Triticum,Itapua,4.0,4.0
Milan,Resistant,2017,9,Two,YES,Pyricularia oryzae,Triticum,Itapua,1.0,1.0
Caninde 11,Susceptible,2020,9,Three,YES,Pyricularia oryzae,Triticum,Itapua,3.3,4.0
Milan,Resistant,2020,9,Three,YES,Pyricularia oryzae,Triticum,Itapua,0.1,1.0
Caninde 11,Susceptible,2018,17,One,YES,Pyricularia oryzae,Avena,Cordillera,1.2,3.0
Caninde 11,Susceptible,2018,17,One,YES,Pyricularia oryzae,Avena,Cordillera,0.9,3.0
Caninde 11,Susceptible,2018,19,One,YES,Pyricularia oryzae,Triticum,San Pedro,4.0,4.0
Milan,Resistant,2018,19,One,YES,Pyricularia oryzae,Triticum,San Pedro,4.0,4.0
Caninde 11,Susceptible,2020,19,One,YES,Pyricularia oryzae,Triticum,San Pedro,4.0,4.0
Milan,Resistant,2020,19,One,YES,Pyricularia oryzae,Triticum,San Pedro,1.1,4.0
Caninde 11,Susceptible,2018,21,One,YES,Pyricularia oryzae,Triticum,San Pedro,4.0,4.0
Milan,Resistant,2018,21,One,YES,Pyricularia oryzae,Triticum,San Pedro,3.6,4.0
Caninde 11,Susceptible,2020,21,Two,YES,Pyricularia oryzae,Triticum,San Pedro,4.0,4.0
Milan,Resistant,2020,21,Two,YES,Pyricularia oryzae,Triticum,San Pedro,1.6,4.0
Caninde 11,Susceptible,2018,25,One,YES,Pyricularia oryzae,Triticum,Canindeyu,4.0,4.0
Milan,Resistant,2018,25,One,YES,Pyricularia oryzae,Triticum,Canindeyu,4.0,4.0
Caninde 11,Susceptible,2020,28,One,YES,Pyricularia oryzae,Triticum,Canindeyu,3.0,4.0
Milan,Resistant,2020,28,One,YES,Pyricularia oryzae,Triticum,Canindeyu,1.3,2.0
Caninde 11,Susceptible,2017,39,One,YES,Pyricularia oryzae,Triticum,Itapua,4.0,4.0
Milan,Resistant,2017,39,One,YES,Pyricularia oryzae,Triticum,Itapua,1.0,1.0
Caninde 11,Susceptible,2017,39,Two,YES,Pyricularia oryzae,Triticum,Itapua,4.0,4.0
Milan,Resistant,2017,39,Two,YES,Pyricularia oryzae,Triticum,Itapua,1.0,1.0
Caninde 11,Susceptible,2020,39,Three,YES,Pyricularia oryzae,Triticum,Itapua,2.8,4.0
Milan,Resistant,2020,39,Three,YES,Pyricularia oryzae,Triticum,Itapua,2.4,4.0
Caninde 11,Susceptible,2018,51,One,YES,Pyricularia oryzae,Stenothaphrum secundatum,Central,0.0,0.0
Milan,Resistant,2018,51,One,YES,Pyricularia oryzae,Stenothaphrum secundatum,Central,0.0,0.0
Caninde 11,Susceptible,2018,54,One,YES,Pyricularia oryzae,Rynchelyntrum roseum,Cordillera,0.0,0.0
Milan,Resistant,2018,54,One,YES,Pyricularia oryzae,Rynchelyntrum roseum,Cordillera,0.0,0.0
Caninde 11,Susceptible,2017,55,One,YES,Pyricularia pennisetigena,Cenchrus echinatus,Canindeyu,0.9,2.0
Milan,Resistant,2017,55,One,YES,Pyricularia pennisetigena,Cenchrus echinatus,Canindeyu,0.0,0.0
Caninde 11,Susceptible,2018,56,One,YES,Pyricularia grisea,Digitaria insularis,Canindeyu,0.0,0.0
Milan,Resistant,2018,56,One,YES,Pyricularia grisea,Digitaria insularis,Canindeyu,0.0,0.0
Caninde 11,Susceptible,2020,101,One,YES,Pyricularia oryzae,Triticum,Itapua,2.9,4.0
Milan,Resistant,2020,101,One,YES,Pyricularia oryzae,Triticum,Itapua,1.3,4.0
Caninde 11,Susceptible,2018,107,One,YES,Pyricularia grisea,Digitaria sp.,Itapua,0.0,0.0
Milan,Resistant,2018,107,One,YES,Pyricularia grisea,Digitaria sp.,Itapua,0.0,0.0
Caninde 11,Susceptible,2018,113,One,YES,Pyricularia oryzae,Eleusine indica,Canindeyu,0.0,0.0
Milan,Resistant,2018,113,One,YES,Pyricularia oryzae,Eleusine indica,Canindeyu,0.0,0.0
Caninde 11,Susceptible,2020,117,One,YES,Pyricularia pennisetigena,Cenchrus echinatus,Itapua,3.0,4.0
Milan,Resistant,2020,117,One,YES,Pyricularia pennisetigena,Cenchrus echinatus,Itapua,0.3,2.0
